"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,099,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","2,179,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","2,619,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,962,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,086,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,853,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","2,455,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,435,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,358,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,869,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,176,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,148,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","5,053,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","2,175,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","303,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","527,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","984,000","20.4"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","FUELS","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","2,217,000","20.4"
