"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","673","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","520","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","1,296","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","874","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","834","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","1,007","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","868","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","610","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","836","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","1,029","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","668","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","724","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","1,764","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","726","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","331","16.1"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","TRACTORS","TRACTORS - INVENTORY","TOTAL","NOT SPECIFIED","482","16.1"
