yr,st,st_ansi,cty,cty_ansi,zip,netinc,st_cty_yr,fertilizer,fuel,labor,land,machinery,tractors,trucks,fips,Latitude,Longitude
2017,ALABAMA,1,AUTAUGA,1,,6781000,ALABAMA_AUTAUGA_2017,2295000,1099000,1985000,36890,35869000,673,607,1001,32.536382,–86.644490
2017,ALABAMA,1,BULLOCK,11,,18322000,ALABAMA_BULLOCK_2017,1604000,2179000,6042000,19969,21232000,520,563,1011,32.101759,–85.717261
2017,ALABAMA,1,DALLAS,47,,18518000,ALABAMA_DALLAS_2017,4982000,2619000,5943000,76697,65614000,1296,878,1047,32.33354,–87.114356
2017,ALABAMA,1,ELMORE,51,,5298000,ALABAMA_ELMORE_2017,2657000,1962000,2110000,34857,40653000,874,765,1051,32.597229,–86.142739
2017,ALABAMA,1,GREENE,63,,6458000,ALABAMA_GREENE_2017,390000,1086000,2360000,20423,30928000,834,569,1063,32.844497,–87.964201
2017,ALABAMA,1,HALE,65,,17715000,ALABAMA_HALE_2017,1518000,1853000,2575000,20732,39944000,1007,764,1065,32.752796,–87.623061
2017,ALABAMA,1,LOWNDES,85,,23028000,ALABAMA_LOWNDES_2017,1925000,2455000,3098000,46465,54020000,868,808,1085,32.147888,–86.650586
2017,ALABAMA,1,MACON,87,,-1897000,ALABAMA_MACON_2017,3011000,1435000,4615000,40813,36859000,610,602,1087,32.387027,–85.692887
2017,ALABAMA,1,MARENGO,91,,3632000,ALABAMA_MARENGO_2017,1458000,1358000,1606000,28043,37262000,836,677,1091,32.247591,–87.791091
2017,ALABAMA,1,MONTGOMERY,101,,10030000,ALABAMA_MONTGOMERY_2017,2503000,1869000,6063000,56953,47007000,1029,870,1101,32.203651,–86.203831
2017,ALABAMA,1,PERRY,105,,13445000,ALABAMA_PERRY_2017,1745000,1176000,3340000,41229,33620000,668,588,1105,32.639005,–87.293827
2017,ALABAMA,1,SUMTER,119,,7006000,ALABAMA_SUMTER_2017,1142000,1148000,1799000,31110,29982000,724,566,1119,32.597481,–88.200057
2017,ALABAMA,1,BALDWIN,3,,29837000,ALABAMA_BALDWIN_2017,13045000,5053000,15444000,110438,114930000,1764,1551,1003,30.659218,–87.746067
